"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.93","$84.35M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.91","$1.24B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","6.02","$136.91M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","6.45","$60.54M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","12.1208","$116.89M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe",
"FCO","Aberdeen Global Income Fund, Inc.","8.55","$74.76M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","6.61","$62.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","16.8699","$67.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","24.77","$82.36M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AIII","ACRE Realty Investors, Inc.","1.08","$22.1M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"ATNM","Actinium Pharmaceuticals, Inc.","1.35","$75.26M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","37.53","$158.29M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","1.24","$24.72M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","23.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"ACY","AeroCentury Corp.","9.65","$15.12M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"AIRI","Air Industries Group","3.85","$29.2M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AXU","Alexco Resource Corp","1.55","$144.11M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"AAU","Almaden Minerals, Ltd.","1.1","$99.06M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","3.15","$51.35M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","85.9","$127.11M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"DIT","AMCON Distributing Company","99.025","$67.23M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"ADGE","American DG Energy Inc.","0.3353","$16.99M","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge",
"ALN","American Lorain Corporation","0.58","$22.2M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","4.1","$22.01M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"USAS","Americas Silver Corporation","3.06","$121.06M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/usas",
"AMPE","Ampio Pharmaceuticals, Inc.","0.8918","$50.99M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"APHB","AmpliPhi Biosciences Corporation","0.505","$8.33M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.405","$30.86M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"ARNC^","Arconic Inc.","87.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arnc^",
"HRT","Arrhythmia Research Technology Inc.","4.05","$11.41M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","2.53","$514.17M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"AINC","Ashford Inc.","57.71","$116.32M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",
"ASB.WS","Associated Banc-Corp","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb.ws",
"AST","Asterias Biotherapeutics, Inc.","3.7","$171.76M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast",
"AST.WS","Asterias Biotherapeutics, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ast.ws",
"AUXO","Auxilio, Inc.","3.79","$31.02M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/auxo",
"AWX","Avalon Holdings Corporation","2.87","$10.92M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"ASM","Avino Silver","1.85","$97M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","3","$2.89B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BTN","Ballantyne Strong, Inc","6.5625","$93.52M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BKJ","Bancorp of New Jersey, Inc","14.789","$93.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BCV","Bancroft Fund Limited","21.64","$111.04M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"BCV^A","Bancroft Fund Limited","24.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv^a",
"BAA","BANRO CORPORATION","0.1239","$37.48M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"BHB","Bar Harbor Bankshares, Inc.","43.32","$444.37M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","2.36","$19.53M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BGSF","BG Staffing Inc","13.77","$119.37M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BPMX","BioPharmX Corporation","0.47","$31.83M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx",
"BTX","BioTime, Inc.","3.36","$373.64M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws",
"BGI","Birks Group Inc.","1.66","$29.82M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BZM","BlackRock Maryland Municipal Bond Trust","14.16","$29.44M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.27","$33.78M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLE","BlackRock Municipal Income Trust II","14.71","$345.54M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ble",
"BLJ","Blackrock New Jersey Municipal Bond Trust","14.5","$33.74M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"BFY","BlackRock New York Municipal Income Trust II","14.83","$74.22M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfy",
"BHV","BlackRock Virginia Municipal Bond Trust","15.69","$25.06M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bhv",
"BDR","Blonder Tongue Laboratories, Inc.","0.73","$5.91M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"BRG","Bluerock Residential Growth REIT, Inc.","12.61","$304.76M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"BRG^A","Bluerock Residential Growth REIT, Inc.","26.37","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^a",
"BRG^C","Bluerock Residential Growth REIT, Inc.","25.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^c",
"BRG^D","Bluerock Residential Growth REIT, Inc.","24.8226","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^d",
"BVX","Bovie Medical Corporation","3.3","$95.7M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx",
"BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bwl.a",
"BTI","British American Tobacco p.l.c.","63.29","$118B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"CEI","Camber Energy, Inc.","0.6801","$16.16M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cei",
"CANF","Can-Fite Biopharma Ltd","2.04","$28.26M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf",
"ROX","Castle Brands, Inc.","1.02","$164.19M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox",
"CAW","CCA Industries, Inc.","3.1","$21.72M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw",
"CVM","Cel-Sci Corporation","0.105","$20.05M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm",
"CVM.WS","Cel-Sci Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm.ws",
"CEF","Central Fund of Canada Limited","12.49","$3.15B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cef",
"CET","Central Securities Corporation","23.58","$586.71M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cet",
"LEU","Centrus Energy Corp.","5.74","$51.66M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/leu",
"CCF","Chase Corporation","93","$869.04M","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf",
"CQH","Cheniere Energy Partners LP Holdings, LLC","23.8","$5.51B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh",
"CQP","Cheniere Energy Partners, LP","32.29","$10.91B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp",
"LNG","Cheniere Energy, Inc.","47.5","$11.3B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng",
"CVR","Chicago Rivet & Machine Co.","40.72","$39.34M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CPHI","China Pharma Holdings, Inc.","0.2317","$10.1M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CKX","CKX Lands, Inc.","11.3","$21.95M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"GLV","Clough Global Dividend and Income Fund","12.94","$134.48M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glv",
"GLQ","Clough Global Equity Fund","12.22","$215.72M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glq",
"GLO","Clough Global Opportunities Fund","9.97","$514.19M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glo",
"MOC","Command Security Corporation","2.72","$26.79M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/moc",
"CIX","CompX International Inc.","14.85","$184.42M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix",
"LODE","Comstock Mining, Inc.","0.2328","$42.95M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"CTO","Consolidated-Tomoka Land Co.","55.65","$318.23M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto",
"MCF","Contango Oil & Gas Company","7.75","$195.78M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CUO","Continental Materials Corporation","27.9497","$46.71M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo",
"CMT","Core Molding Technologies Inc","16.14","$125.75M","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt",
"CVRS","Corindus Vascular Robotics, Inc.","1.26","$149.97M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cvrs",
"CRMD","CorMedix Inc","2.19","$88.53M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd",
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","16.15","$125.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crf",
"CLM","Cornerstone Strategic Value Fund, Inc.","16.05","$347.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clm",
"CVU","CPI Aerostructures, Inc.","7.7","$67.27M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu",
"CIK","Credit Suisse Asset Management Income Fund, Inc.","3.38","$176.69M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cik",
"DHY","Credit Suisse High Yield Bond Fund","2.845","$284.49M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dhy",
"CRHM","CRH Medical Corporation","7.45","$541.96M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crhm",
"CRVP","Crystal Rock Holdings, Inc.","0.78","$16.66M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp",
"DXR","Daxor Corporation","9.1965","$35.19M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr",
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","14.81","$71.64M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vcf",
"VFL","Delaware Investments Florida Insured Municipal Income Fund","12.85","$58.19M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vfl",
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","13.86","$159.46M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vmm",
"DLA","Delta Apparel, Inc.","17.32","$131.78M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla",
"DNN","Denison Mine Corp","0.65","$351.47M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn",
"DGSE","DGSE Companies, Inc.","1.33","$35.74M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse",
"DPW","Digital Power Corporation","0.5902","$4.53M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"DSS","Document Security Systems, Inc.","1.35","$17.93M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/dss",
"DMF","Dreyfus Municipal Income, Inc.","8.98","$186.3M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dmf",
"GRF","Eagle Capital Growth Fund, Inc.","7.29","$23.79M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf",
"ESTE","Earthstone Energy, Inc.","12.66","$282.18M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"EVM","Eaton Vance California Municipal Bond Fund","11.43","$244.54M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evm",
"EIA","Eaton Vance California Municipal Bond Fund II","11.87","$46.13M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eia",
"CEV","Eaton Vance California Municipal Income Trust","12.48","$90.54M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cev",
"EVV","Eaton Vance Limited Duration Income Fund","14.25","$1.66B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evv",
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","13.5906","$24.04M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mab",
"MMV","Eaton Vance Massachusetts Municipal Income Trust","13.22","$36.18M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mmv",
"MIW","Eaton Vance Michigan Municipal Bond Fund","13.3448","$20.02M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/miw",
"EMI","Eaton Vance Michigan Municipal Income Trust","13.3","$26.77M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emi",
"EIM","Eaton Vance Municipal Bond Fund","12.32","$839.83M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eim",
"EIV","Eaton Vance Municipal Bond Fund II","12.04","$120.56M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eiv",
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","12.6486","$32.62M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emj",
"EVJ","Eaton Vance New Jersey Municipal Income Trust","11.9284","$54.85M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evj",
"ENX","Eaton Vance New York Municipal Bond Fund","12.3","$192.64M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enx",
"NYH","Eaton Vance New York Municipal Bond Fund II","11.75","$30.04M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nyh",
"EVY","Eaton Vance New York Municipal Income Trust","12.82","$70.2M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evy",
"EIO","Eaton Vance Ohio Municipal Bond Fund","12.8369","$32.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eio",
"EVO","Eaton Vance Ohio Municipal Income Trust","13.75","$39.29M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evo",
"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","12.64","$37.41M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eip",
"EVP","Eaton Vance Pennsylvania Municipal Income Trust","12.06","$31.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evp",
"ELMD","Electromed, Inc.","4.89","$40.25M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd",
"ELLO","Ellomay Capital Ltd.","8.21","$87.67M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello",
"ECF","Ellsworth Growth and Income Fund Ltd.","8.67","$111.93M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ecf",
"EMAN","eMagin Corporation","2.2","$69.57M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman",
"MSN","Emerson Radio Corporation","1.3","$35.19M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/msn",
"UUUU","Energy Fuels Inc","1.99","$132.61M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/uuuu",
"UUUU.WS","Energy Fuels Inc","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uuuu.ws",
"ENRJ","EnerJex Resources, Inc.","0.4","$3.37M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"ENSV","ENSERVCO Corporation","0.4808","$24.55M","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"ESNC","EnSync, Inc.","0.6447","$30.95M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/esnc",
"EGI","Entree Gold Inc","0.5431","$93.18M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi",
"EVI","EnviroStarm, Inc.","19.1","$198.05M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evi",
"ERN","Erin Energy Corp.","3.45","$733.77M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ern",
"ESP","Espey Mfg. & Electronics Corp.","24.5","$58.1M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp",
"EMX","Eurasian Minerals Inc.","1","$74.15M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emx",
"EVBN","Evans Bancorp, Inc.","39.45","$185.44M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbn",
"EPM","Evolution Petroleum Corporation, Inc.","8.6","$284.34M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"XRA","Exeter Resource Corporation","1.11","$98.41M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra",
"FPP","FieldPoint Petroleum Corporation","0.501","$4.9M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"FPP.WS","FieldPoint Petroleum Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fpp.ws",
"FEN","First Trust Energy Income and Growth Fund","27.55","$533.89M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fen",
"BDL","Flanigan&#39;s Enterprises, Inc.","24.6","$45.72M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl",
"FSI","Flexible Solutions International Inc.","1.56","$17.87M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi",
"FTF","Franklin Limited Duration Income Trust","12.2","$326.91M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftf",
"FSP","Franklin Street Properties Corp.","12.47","$1.34B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fsp",
"FRD","Friedman Industries Inc.","6.53","$45.77M","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd",
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","5.56","$664.85M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggn",
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","23.59","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggn^b",
"EGAS","Gas Natural Inc.","12.65","$133.07M","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas",
"GST","Gastar Exploration Inc.","1.86","$291.49M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst",
"GST^A","Gastar Exploration Inc.","22.6775","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^a",
